time	type	info
63606768604578.305	log	started
63606768608233.805	window	opened main
63606768608719.797	flip	show start
63606768608793.758	experiment	using existing block order
63606768608815.516	experiment	Setting nCorrect to 0
63606768628689.852	keyboard	down: response
63606768638884.297	window	closed
63606768639154.133	log	ended
63606768952110.844	log	started
63606768955097.023	window	opened main
63606768955272.609	flip	show start
63606768955286.648	experiment	using default block order
63606768955272.609	flip	show start
63606768955286.648	experiment	using default block order
63606768955298.422	experiment	Setting nCorrect to 0
63606768960039.547	keyboard	down: response
63606768960068.430	experiment	feedback (n, 0/1)
63606768961782.883	keyboard	down: response
63606768961799.359	experiment	feedback (y, 1/2)
63606768963630.648	keyboard	down: response
63606768963645.875	experiment	feedback (y, 2/3)
63606768965166.812	keyboard	down: response
63606768965178.672	experiment	feedback (n, 2/4)
63606768966798.641	keyboard	down: response
63606768966812.227	experiment	feedback (y, 3/5)
63606768968414.852	keyboard	down: response
63606768968432.383	experiment	feedback (n, 3/6)
63606768968414.852	keyboard	down: response
63606768968432.383	experiment	feedback (n, 3/6)
63606768969958.938	keyboard	down: response
63606768969982.562	experiment	feedback (n, 3/7)
63606768972902.836	keyboard	down: response
63606768972916.766	experiment	feedback (y, 4/8)
63606768974702.648	keyboard	down: response
63606768974713.406	experiment	feedback (y, 5/9)
63606768976302.641	keyboard	down: response
63606768976313.688	experiment	feedback (y, 6/10)
63606768978150.750	keyboard	down: response
63606768978165.508	experiment	feedback (y, 7/11)
63606768980126.688	keyboard	down: response
63606768980147.703	experiment	feedback (y, 8/12)
63606768982054.578	keyboard	down: response
63606768982067.664	experiment	feedback (n, 8/13)
63606768984222.570	keyboard	down: response
63606768984234.000	experiment	feedback (n, 8/14)
63606768990782.445	keyboard	down: response
63606768990806.492	experiment	feedback (y, 9/15)
63606768998207.273	experiment	run 1 start
63606768998362.273	experiment	rest
63606769006513.703	flip	block 1, type: level one | same
63606769010332.172	experiment	waiting (for prompt HRF decay)
63606769022342.508	keyboard	down: response
63606769022358.578	experiment	feedback (y, 1/1)
63606769024006.273	keyboard	down: response
63606769024024.047	experiment	feedback (y, 2/2)
63606769027054.133	keyboard	down: response
63606769027072.148	experiment	feedback (y, 3/3)
63606769034686.352	keyboard	down: response
63606769034705.945	experiment	feedback (y, 4/4)
63606769038509.922	keyboard	down: response
63606769038526.336	experiment	feedback (y, 5/5)
63606769043189.938	keyboard	down: response
63606769043207.203	experiment	feedback (y, 6/6)
63606769048517.844	keyboard	down: response
63606769048541.445	experiment	feedback (y, 7/7)
63606769050376.352	experiment	feedback (n, 7/8)
63606769051507.273	experiment	rest
63606769058421.578	flip	block 2, type: level one | different
63606769062328.867	experiment	waiting (for prompt HRF decay)
63606769066838.289	window	closed
63606769067018.461	log	ended
63606769526502.992	log	started
63606769529368.000	window	opened main
63606769529525.719	flip	show start
63606769529534.828	experiment	using default block order
63606769529538.992	experiment	Setting nCorrect to 0
63606769540753.336	keyboard	down: response
63606769540778.094	experiment	feedback (n, 0/1)
63606769545306.961	keyboard	down: response
63606769545334.812	experiment	feedback (y, 1/2)
63606769547385.531	keyboard	down: response
63606769547402.688	experiment	feedback (y, 2/3)
63606769551473.203	keyboard	down: response
63606769551483.570	experiment	feedback (y, 3/4)
63606769554409.414	keyboard	down: response
63606769554417.414	experiment	feedback (n, 3/5)
63606769556289.219	keyboard	down: response
63606769556300.961	experiment	feedback (y, 4/6)
63606769558601.258	keyboard	down: response
63606769558621.195	experiment	feedback (y, 5/7)
63606769560553.141	keyboard	down: response
63606769560572.469	experiment	feedback (y, 6/8)
63606769562873.367	keyboard	down: response
63606769562888.734	experiment	feedback (y, 7/9)
63606769565545.086	keyboard	down: response
63606769565573.266	experiment	feedback (y, 8/10)
63606769568985.844	keyboard	down: response
63606769569002.859	experiment	feedback (n, 8/11)
63606769571054.250	experiment	feedback (timeout, 8/12)
63606769598274.188	window	closed
63606769598452.852	log	ended
63606770449619.094	log	started
63606770452589.617	window	opened main
63606770452748.367	flip	show start
63606770452758.734	experiment	using default block order
63606770452762.859	experiment	Setting nCorrect to 0
63606770469424.727	keyboard	down: response
63606770469446.406	experiment	feedback (n, 0/1)
63606770469424.727	keyboard	down: response
63606770469446.406	experiment	feedback (n, 0/1)
63606770471393.391	keyboard	down: response
63606770471410.359	experiment	feedback (y, 1/2)
63606770473633.531	keyboard	down: response
63606770473659.484	experiment	feedback (n, 1/3)
63606770475488.719	keyboard	down: response
63606770475513.938	experiment	feedback (n, 1/4)
63606770478161.156	keyboard	down: response
63606770478176.602	experiment	feedback (n, 1/5)
63606770480200.875	keyboard	down: response
63606770480226.914	experiment	feedback (n, 1/6)
63606770481976.664	keyboard	down: response
63606770481990.680	experiment	feedback (y, 2/7)
63606770484192.586	keyboard	down: response
63606770484212.438	experiment	feedback (n, 2/8)
63606770485480.836	keyboard	down: response
63606770485491.633	experiment	feedback (y, 3/9)
63606770487152.781	keyboard	down: response
63606770487174.867	experiment	feedback (n, 3/10)
63606770489457.102	keyboard	down: response
63606770489479.906	experiment	feedback (n, 3/11)
63606770491521.516	keyboard	down: response
63606770491547.312	experiment	feedback (y, 4/12)
63606770493496.883	keyboard	down: response
63606770493509.047	experiment	feedback (y, 5/13)
63606770495352.453	keyboard	down: response
63606770495376.023	experiment	feedback (y, 6/14)
63606770497289.148	keyboard	down: response
63606770497313.898	experiment	feedback (y, 7/15)
63606770499624.570	keyboard	down: response
63606770499646.484	experiment	feedback (y, 8/16)
63606770509720.586	keyboard	down: response
63606770509728.570	experiment	feedback (y, 1/1)
63606770511832.570	keyboard	down: response
63606770511845.461	experiment	feedback (y, 2/2)
63606770514480.297	keyboard	down: response
63606770514502.977	experiment	feedback (n, 2/3)
63606770516688.289	keyboard	down: response
63606770516700.203	experiment	feedback (n, 2/4)
63606770520072.227	keyboard	down: response
63606770520079.789	experiment	feedback (n, 2/5)
63606770523248.422	keyboard	down: response
63606770523263.586	experiment	feedback (y, 3/6)
63606770525384.352	keyboard	down: response
63606770525404.727	experiment	feedback (n, 3/7)
63606770528936.336	keyboard	down: response
63606770528947.742	experiment	feedback (n, 3/8)
63606770532120.344	keyboard	down: response
63606770532131.602	experiment	feedback (y, 4/9)
63606770535464.297	keyboard	down: response
63606770535485.328	experiment	feedback (n, 4/10)
63606770537592.336	keyboard	down: response
63606770537623.961	experiment	feedback (y, 5/11)
63606770547840.312	keyboard	down: response
63606770547850.648	experiment	feedback (n, 0/1)
63606770549968.273	keyboard	down: response
63606770549984.328	experiment	feedback (y, 1/2)
63606770552071.938	keyboard	down: response
63606770552084.875	experiment	feedback (y, 2/3)
63606770554064.469	keyboard	down: response
63606770554088.062	experiment	feedback (n, 2/4)
63606770555992.172	keyboard	down: response
63606770556006.266	experiment	feedback (y, 3/5)
63606770558160.680	keyboard	down: response
63606770558168.961	experiment	feedback (n, 3/6)
63606770560199.867	keyboard	down: response
63606770560219.258	experiment	feedback (y, 4/7)
63606770564015.867	keyboard	down: response
63606770564036.422	experiment	feedback (y, 5/8)
63606770578023.164	experiment	feedback (timeout, 5/9)
63606770585799.930	window	closed
63606770585817.117	log	ended
63606773323541.141	log	started
63606773326452.695	window	opened main
63606773326644.898	flip	show start
63606773326657.898	experiment	using default block order
63606773326662.461	experiment	Setting nCorrect to 0
63606773336230.930	experiment	run 1 start
63606773350102.375	window	closed
63606773350320.500	log	ended
63606773529637.203	log	started
63606773532483.766	window	opened main
63606773532642.633	flip	show start
63606773532650.289	experiment	using default block order
63606773532654.391	experiment	Setting nCorrect to 0
63606773537920.180	experiment	run 1 start
63606773581507.820	window	closed
63606773581529.227	log	ended
63606773714402.875	log	started
63606773717936.469	window	opened main
63606773718422.539	flip	show start
63606773718503.719	experiment	using default block order
63606773718526.148	experiment	Setting nCorrect to 0
63606773723635.258	experiment	run 1 start
63606773723825.305	experiment	rest
63606773728107.344	flip	block 1, type: level one | same
63606773731792.539	experiment	waiting (for prompt HRF decay)
63606773741941.477	keyboard	down: response
63606773741994.352	experiment	feedback (y, 1/1)
63606773747972.289	keyboard	down: response
63606773747980.508	experiment	feedback (y, 2/2)
63606773751220.477	keyboard	down: response
63606773751232.273	experiment	feedback (y, 3/3)
63606773757860.242	keyboard	down: response
63606773757883.438	experiment	feedback (y, 4/4)
63606773761612.312	keyboard	down: response
63606773761636.953	experiment	feedback (y, 5/5)
63606773767004.320	keyboard	down: response
63606773767021.125	experiment	feedback (y, 6/6)
63606773771635.992	keyboard	down: response
63606773771655.453	experiment	feedback (y, 7/7)
63606773773788.148	experiment	rest
63606773777864.953	flip	block 2, type: level one | different
63606773781963.430	window	closed
63606773782211.328	log	ended
63606786734104.695	log	started
63606786737025.016	window	opened main
63606786737201.938	flip	show start
63606786737214.047	experiment	using default block order
63606786737218.453	experiment	Setting nCorrect to 0
63606786740597.773	experiment	run 1 start
63606786740657.617	experiment	rest
63606786744706.820	flip	block 1, type: level one | same
63606786748639.891	experiment	waiting (for prompt HRF decay)
63606786757452.500	keyboard	down: response
63606786757475.859	experiment	feedback (y, 1/1)
63606786759126.336	keyboard	down: response
63606786759136.812	experiment	feedback (y, 2/2)
63606786760982.570	keyboard	down: response
63606786761006.625	experiment	feedback (y, 3/3)
63606786764676.461	experiment	feedback (n, 3/4)
63606786784580.406	window	closed
63606786784764.352	log	ended
63606786996072.805	log	started
63606786998929.453	window	opened main
63606786999088.234	flip	show start
63606786999096.180	experiment	using default block order
63606786999100.656	experiment	Setting nCorrect to 0
63606787003062.922	experiment	run 1 start
63606787003104.961	experiment	rest
63606787007139.438	flip	block 1, type: level one | same
63606787011094.320	experiment	waiting (for prompt HRF decay)
63606787022264.445	keyboard	down: response
63606787022288.156	experiment	feedback (y, 1/1)
63606787025767.523	keyboard	down: response
63606787025780.656	experiment	feedback (y, 2/2)
63606787027132.797	experiment	feedback (n, 2/3)
63606787029095.188	experiment	rest
63606787033160.008	flip	block 2, type: level one | different
63606787044906.570	window	closed
63606787044941.688	log	ended
63606787148510.781	log	started
63606787151420.203	window	opened main
63606787151420.203	window	opened main
63606787151611.125	flip	show start
63606787151622.406	experiment	using default block order
63606787151626.953	experiment	Setting nCorrect to 0
63606787154977.492	experiment	run 1 start
63606787155013.516	experiment	rest
63606787159062.242	flip	block 1, type: level one | same
63606787163005.758	experiment	waiting (for prompt HRF decay)
63606787173542.367	keyboard	down: response
63606787173583.492	experiment	feedback (y, 1/1)
63606787178222.047	keyboard	down: response
63606787178240.227	experiment	feedback (y, 2/2)
63606787181006.203	experiment	rest
63606787185066.164	flip	block 2, type: level one | different
63606787189006.320	experiment	waiting (for prompt HRF decay)
63606787199805.938	keyboard	down: response
63606787199826.836	experiment	feedback (n, 0/1)
63606787207005.719	experiment	rest
63606787211070.094	flip	block 3, type: level two | same
63606787215006.242	experiment	waiting (for prompt HRF decay)
63606787224654.008	keyboard	down: response
63606787224677.500	experiment	feedback (y, 1/1)
63606787227870.422	keyboard	down: response
63606787227896.273	experiment	feedback (y, 2/2)
63606787230757.641	keyboard	down: response
63606787230781.703	experiment	feedback (n, 2/3)
63606787233006.164	experiment	rest
63606787237057.375	flip	block 4, type: level two | different
63606787241005.523	experiment	waiting (for prompt HRF decay)
63606787249534.523	keyboard	down: response
63606787249550.719	experiment	feedback (y, 1/1)
63606787252533.695	keyboard	down: response
63606787252551.219	experiment	feedback (n, 1/2)
63606787259006.102	experiment	rest
63606787263061.344	flip	block 5, type: level three | same
63606787267005.953	experiment	waiting (for prompt HRF decay)
63606787285005.672	experiment	rest
63606787289065.312	flip	block 6, type: level three | different
63606787293005.516	experiment	waiting (for prompt HRF decay)
63606787311005.984	experiment	rest
63606787315069.297	flip	block 7, type: level four | same
63606787319005.617	experiment	waiting (for prompt HRF decay)
63606787328604.812	keyboard	down: response
63606787328626.742	experiment	feedback (y, 1/1)
63606787337005.578	experiment	rest
63606787341073.281	flip	block 8, type: level four | different
63606787345005.922	experiment	waiting (for prompt HRF decay)
63606787354916.445	keyboard	down: response
63606787354930.891	experiment	feedback (n, 0/1)
63606787356820.328	keyboard	down: response
63606787356834.148	experiment	feedback (y, 1/2)
63606787363006.172	experiment	rest
63606787367088.359	experiment	run 1 end
63606787458562.367	experiment	run 2 start
63606787458601.406	experiment	rest
63606787462658.508	flip	block 1, type: level one | same
63606787466592.414	experiment	waiting (for prompt HRF decay)
63606787479723.922	keyboard	down: response
63606787479733.023	experiment	feedback (y, 1/1)
63606787484592.469	experiment	rest
63606787488645.797	flip	block 2, type: level one | different
63606787492592.938	experiment	waiting (for prompt HRF decay)
63606787507931.039	keyboard	down: response
63606787507955.156	experiment	feedback (y, 1/1)
63606787510592.602	experiment	rest
63606787514666.438	flip	block 3, type: level two | same
63606787518592.414	experiment	waiting (for prompt HRF decay)
63606787536593.141	experiment	rest
63606787540653.750	flip	block 4, type: level two | different
63606787544592.586	experiment	waiting (for prompt HRF decay)
63606787554195.609	keyboard	down: response
63606787554210.961	experiment	feedback (n, 0/1)
63606787558698.602	keyboard	down: response
